video_pth,split,sentence,num_frames
train/00_0001.mp4,train,عندي حسابين,175
train/00_0002.mp4,train,اريد الغاء بطاقتي البنكيه,270
train/00_0003.mp4,train,اريد اضافه مستفيد,262
train/00_0004.mp4,train,اريد اغلاق حسابي البنكي,325
train/00_0005.mp4,val,اريد سداد فاتوره,172
train/00_0006.mp4,val,اريد قرض,142
train/00_0007.mp4,train,اريد تبديل العمله,202
train/00_0008.mp4,train,اريد تحديث بياناتي,240
train/00_0009.mp4,train,اريد تحويل الراتب,134
train/00_0010.mp4,val,اريد استشاره ماليه,290
train/00_0011.mp4,val,اريد ايداع نقود,232
train/00_0012.mp4,train,تم تجميد حسابك,243
train/00_0013.mp4,train,بطاقتي البنكيه مسروقه,208
train/00_0015.mp4,train,كم تريد سحب فلوس ؟,208
train/00_0016.mp4,train,كم راتبك الحالي ؟,210
train/00_0017.mp4,train,كم رصيدك الحالي ؟,260
train/00_0018.mp4,test,كم رقم حسابك ؟,200
train/00_0021.mp4,train,متي يفتح الفرع ؟,183
train/00_0023.mp4,train,اريد بطاقه مسبقه الدفع,188
train/00_0024.mp4,train,اريد تحديث رقم الجوال,143
train/00_0026.mp4,train,اريد سحب الف ريال,200
train/00_0027.mp4,train,اريد فتح حساب توفير,205
train/00_0029.mp4,train,اريد معرفه رقم الايبان,177
train/00_0030.mp4,train,احتاج الي بيان رصيد كشف حساب,352
train/00_0031.mp4,train,احتاج الي دفتر شيكات,142
train/00_0033.mp4,train,اريد تفاصيل الاستثمار,150
train/00_0034.mp4,train,اريد التواصل عبر الفيديو,232
train/00_0037.mp4,train,بطاقه الصراف لا تعمل,170
train/00_0038.mp4,val,تطبيق الجوال لا يعمل,202
train/00_0039.mp4,test,كيف يمكنني تفعيل البطاقه ؟,325
train/00_0040.mp4,train,كم رسوم الحواله الدوليه ؟,292
train/00_0041.mp4,train,كم رسوم الحواله لبنك اخر ؟,205
train/00_0042.mp4,train,توجد حواله مشبوهه,262
train/00_0043.mp4,train,الحساب مجمد,232
train/00_0044.mp4,test,تم تفعيل الحساب,169
train/00_0045.mp4,train,يجب زياره الفرع,208
train/00_0046.mp4,train,بطاقتي انسرقت,150
train/00_0047.mp4,train,كم كود التحقق ؟,263
train/00_0048.mp4,val,الدفع بالانترنت معطل,147
train/00_0049.mp4,train,سحبت ثلاث الاف ريال,175
train/00_0050.mp4,train,كم مبلغ الاستثمار ؟,145
train/00_0051.mp4,train,الحواله فشلت,112
train/00_0052.mp4,train,الرصيد لا يكفي,232
train/00_0053.mp4,train,كم قيمه الحواله ؟,147
train/00_0054.mp4,train,لم تصل الحواله,232
train/00_0055.mp4,train,اريد صرف الشيك,175
train/00_0056.mp4,train,اريد فتح حساب طالب,172
train/00_0057.mp4,train,التسديد خلال خمس سنوات,297
train/00_0058.mp4,train,كم نسبه الفائده ؟,172
train/00_0059.mp4,test,كم عدد الاقساط ؟,173
train/00_0060.mp4,train,اريد قرض سياره,120
train/00_0061.mp4,test,ممنوع الغش,178
train/00_0062.mp4,train,تخصصي فيزياء,172
train/00_0065.mp4,val,كيف اسجل للمحاضرات ؟,232
train/00_0067.mp4,train,مكتبه الجامعه كبيره,213
train/00_0068.mp4,train,اين مكتب التسجيل ؟,142
train/00_0070.mp4,val,مقهي الطلاب مغلق,205
train/00_0071.mp4,train,المشروع عن ماذا ؟,142
train/00_0072.mp4,train,ما هو تخصصك ؟,232
train/00_0073.mp4,train,تسجيل المواد مغلق,156
train/00_0074.mp4,train,الاختبار كان سهل,85
train/00_0075.mp4,train,انا طالب طب,140
train/00_0076.mp4,train,المعلم لم يعجبني,142
train/00_0077.mp4,train,شرح المعلم ممتاز,172
